sample, f__Amoebophilaceae, o__Rhizobiales_unassigned, o__Frankiales_uncultured, f__Thermaerobacteraceae, f__Spirochaetaceae, f__Streptomycetaceae, f__Xanthomonadaceae, f__Flavobacteriaceae, f__A0839, f__Mycobacteriaceae, f__Cyclobacteriaceae, f__Halobacterales, p__Firmicutes_unassigned, f__Tsukamurellaceae, f__Rhizobiaceae, f__Paludibacteraceae, f__Paenibacillaceae, c__Clostridia_unassigned, f__Thermicanaceae, f__Rubrobacteriaceae, f__Acidithiobacillaceae, f__Caulobacteraceae, f__Bifidobacteriaceae, f__Aerococcaceae, o__Burkholderiales_unassigned, f__Gemmataceae, f__Dermatophilaceae, f__Beijerinckiaceae, f__Prevotellaceae, f__PeM15, o__Vicinamibacterales_unassigned, p__Actinobacteriota_unassigned, f__Geodermatophilaceae, c__Alphaproteobacteria_unassigned, f__Exiguobacteraceae, f__Microbacteriaceae, f__Myxococcaceae, p__Armatimonadota_unassigned, f__Methylopilaceae, f__KF-JG30-B3, f__Campylobacteraceae, o__Peptostreptococcales-Tissierellales_unassigned, f__67-14, f__Promicromonosporaceae, f__Thermobaculaceae, f__Mitochondria, f__Lachnospiraceae, f__Steroidobacteraceae, f__Acidaminococcaceae, f__Ardenticatenaceae, f__Fusobacteriaceae, f__Nakamurellaceae, f__Leptotrichiaceae, p__Proteobacteria_unassigned, f__Absconditabacteriales_(SR1), o__Propionibacteriales_unassigned, f__Aenigmarchaeales, f__Chroococcidiopsaceae, o__Oligoflexales_uncultured, f__Trueperaceae, f__Abditibacteriaceae, f__Opitutaceae, f__Staphylococcaceae, o__Micavibrionales_uncultured, o__Gaiellales_uncultured, f__Amb-16S-1323, f__Corynebacteriaceae, f__Longimicrobiaceae, f__Herpetosiphonaceae, f__Anaerovoracaceae, f__Rhizobiales_Incertae_Sedis, f__[Eubacterium]_coprostanoligenes_group, f__Nocardioidaceae, f__Bryobacteraceae, f__Deinococcaceae, f__Eubacteriaceae, o__Bacillales_unassigned, f__Diplorickettsiaceae, f__Obscuribacteraceae, o__Solirubrobacterales_unassigned, f__Marinococcaceae, f__MBNT15, f__Clostridia_vadinBB60_group, f__Roseiflexaceae, f__Cellulomonadaceae, c__Acidimicrobiia_unassigned, f__Bacteroidales_Incertae_Sedis, f__Clostridiaceae, f__SM2D12, o__Fusobacteriales_unassigned, o__Flavobacteriales_unassigned, o__Bacteroidales_unassigned, o__Babeliales_unassigned, f__Dermacoccaceae, o__Xanthomonadales_unassigned, o__Enterobacterales_unassigned, f__Sphingomonadaceae, f__Alicyclobacillaceae, f__Polyangiaceae, f__Armatimonadales, f__Acidothermaceae, o__Actinomarinales_uncultured, f__Glycomycetaceae, f__Chloroplast, f__Phaselicystidaceae, f__Pseudomonadaceae, f__Gemellaceae, o__Microtrichales_unassigned, f__RF39, f__Yersiniaceae, f__JG30-KF-CM45, f__Chitinophagaceae, f__Erysipelatoclostridiaceae, f__Subgroup_7, f__Hyphomonadaceae, o__Lactobacillales_unassigned, f__Xanthobacteraceae, c__Bacilli_unassigned, f__Rhodospirillaceae, f__Lentimicrobiaceae, c__Actinobacteria_unassigned, f__AKIW781, f__Synergistaceae, f__Hungateiclostridiaceae, f__Caldilineaceae, f__Thermoactinomycetaceae, f__Tepidisphaeraceae, f__Methylophilaceae, o__Micrococcales_unassigned, f__Phycisphaeraceae, f__Saccharimonadales, f__Parcubacteria, f__Propionibacteriaceae, f__P5D1-392, c__Gammaproteobacteria_unassigned, f__Solibacteraceae, f__Methyloligellaceae, f__Azospirillaceae, f__R7C24, f__NB1-j, o__Lachnospirales_unassigned, f__Tannerellaceae, f__Rhodothermaceae, f__TK10,d__Bacteria_unassigned, f__Sporichthyaceae, c__Bacteroidia_unassigned, f__Porphyromonadaceae, o__Vicinamibacterales_uncultured, f__Halomonadaceae, f__Geminicoccaceae, f__Sutterellaceae, f__Planococcaceae, f__Micropepsaceae, f__Peptococcaceae, f__Unknown_Family, f__Streptococcaceae, f__Enterobacteriaceae, f__Pseudonocardiaceae, o__Methanofastidiosales_uncultured, f__Rhodobacteraceae, f__Blastocatellaceae, o__Thermomicrobiales_unassigned, f__Listeriaceae, f__Kaistiaceae, f__Demequinaceae, o__Acidobacteriales_unassigned, f__Spirosomaceae, f__Acholeplasmataceae, f__Nocardiopsaceae, f__Clostridia_UCG-014, f__Erwiniaceae, f__Cardiobacteriaceae, f__Sphingobacteriaceae, f__Omnitrophaceae, f__LWQ8, f__Micromonosporaceae, f__Microscillaceae, o__Corynebacteriales_unassigned, f__Legionellaceae, f__NS11-12_marine_group, f__Rhodomicrobiaceae, f__AKYH767, f__Muribaculaceae, f__Leuconostocaceae, f__Desulfobulbaceae, f__C0119, f__Defluviicoccaceae, f__Rickettsiaceae, f__0319-6G20, f__Dietziaceae, f__MB-A2-108, f__Sporolactobacillaceae, o__Cytophagales_uncultured, f__Bacillaceae, f__Peptostreptococcales-Tissierellales, f__Weeksellaceae, f__Gemmatimonadaceae, f__Selenomonadaceae, f__Acetobacteraceae, f__Enterococcaceae, f__Micrococcaceae, f__Morganellaceae, f__Reyranellaceae, f__IMCC26256, f__Marine_Group_II, f__Mycoplasmataceae, f__WD2101_soil_group, f__Prolixibacteraceae, f__Chitinimonadaceae, f__Oxalobacteraceae, f__Oligoflexales, f__Brevibacteriaceae, f__Bacteroidaceae, p__Chloroflexi_unassigned, f__Asgardarchaeota, f__Frankiaceae, f__Gaiellaceae, o__uncultured_uncultured, o__Rhodospirillales_uncultured, f__Defluviitaleaceae, f__Neisseriaceae, f__Ilumatobacteraceae, f__Devosiaceae, f__Saccharimonadaceae, o__Rhizobiales_uncultured, f__JGI_0000069-P22, f__Salinisphaeraceae, f__Vicinamibacteraceae, f__Pasteurellaceae, f__Thermomicrobiaceae, f__Solirubrobacteraceae, f__AKYG1722, f__Hyphomicrobiaceae, o__Streptosporangiales_unassigned, f__Atopobiaceae, f__Lactobacillaceae, f__Intrasporangiaceae, f__Dermabacteraceae, f__Eggerthellaceae, f__BIrii41, o__Saccharimonadales_unassigned, f__Coriobacteriaceae, f__Streptosporangiales_Incertae_Sedis, f__Actinomycetaceae, f__Deep_Sea_Euryarchaeotic_Group(DSEG), f__Veillonellaceae, f__Carnobacteriaceae, f__Microtrichaceae, f__Rikenellaceae, f__Sanguibacteraceae, f__Acidobacteriaceae_(Subgroup_1), f__Thermomonosporaceae, f__Actinospicaceae, f__Entotheonellaceae, f__Alcaligenaceae, f__Oscillospiraceae, f__Isosphaeraceae, o__Microtrichales_uncultured, f__p-2534-18B5_gut_group, f__Hymenobacteraceae, f__Comamonadaceae, f__Iamiaceae, f__A4b, f__Monoglobaceae, f__Rhodanobacteraceae, f__Rokubacteriales, o__Cyanobacteriales_unassigned, f__Moraxellaceae, f__Erysipelotrichaceae, f__Rhodocyclaceae, f__Magnetospirillaceae, f__Burkholderiaceae, f__Ruminococcaceae, f__Bdellovibrionaceae, f__Cytophagaceae, f__Bradymonadales, f__Nocardiaceae, f__Kineosporiaceae, f__Nitrosomonadaceae, o__Myxococcales_unassigned, f__Peptostreptococcaceae, f__Christensenellaceae
EBLANK004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,12,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,16,0,0,0
EBLANK006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,17,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
EBLANK007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,12,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,0,16,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,7,0,17,0,0,0,0,0,0,0,0
EBLANK008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,143,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBLANK009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
EBLANK011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,18,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,19,0,0,0,35,7,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,212,0,13,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
EBLANK013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MASK001.V1.MASK,0,0,0,0,0,0,49,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,49,0,0,0,342,0,101,0,0,0,0,0,0,0,0,0,692,0,0,0,1127,0,0,4,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,48,0,63,134,0,0,0,0,0,4,0,0,434,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,2,5,0,0,0,0,0,5247,189,11,0,2,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,9,0,6,0,0,1725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2134,0,0,0,0,0,0,0,1119,0,0,0,0,0,9,0,0,7,0,0,4,0,0,1033,0,319,124,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,9,8,0,0,0,7,0,0,0,18,0,0,0,9,5
MASK001.V1.SKIN,0,0,6,0,0,0,3,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,28,0,16,0,0,0,0,0,0,0,0,0,8697,0,0,0,1055,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,20,0,0,39,0,0,0,0,0,3,0,0,26,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,17323,0,0,0,0,0,0,0,0,0,0,0,4,0,0,34,0,0,0,0,0,0,0,2,1315,10,4,0,5,0,0,18,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,11,0,3,6,0,67,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,27,29,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,13,0,0,0,2,0
MASK001.v1.throat,0,0,0,0,7,0,0,64,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5469,0,0,0,0,0,0,0,0,0,0,0,304,0,0,0,0,0,1618,0,0,0,1431,0,862,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1286,0,0,0,0,0,0,0,0,961,0,26,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1565,0,0,0,0,0,0,0,0,23784,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,6,0,0,2462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,0,0,39,0,0,0,0,916,0,0,0,0,0,236,0,0,0,0,0,0,0,0,3459,0,9300,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,65,0
MASK001.V2.MASK,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,770,0,0,0,1578,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,88,0,0,0,0,0,0,0,0,71,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,1285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3231,0,492,0,63,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,837,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,706,0,133,52,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,23,0,0,0,35,0,0,0,0,57,0,0,0,0,0
MASK001.V2.SKIN,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,18219,0,0,0,892,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762,0,0,2,0,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MASK001.v2.throat,0,0,0,0,8,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,313,0,0,0,288,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,192,0,0,0,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,60,0,0,0,0,0,0,0,0,13265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,3,0,0,0,0,26,0,0,0,0,0,160,2,0,0,0,0,0,0,0,1097,0,4218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
MASK001.V3.MASK,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3958,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,109,0,0,0,374,0,13,0,0,0,0,0,0,0,0,0,226,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,301,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,8017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,9,0,0,0,0,1062,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,730,0,0,15,0,0,0,0,2492,0,0,0,0,0,65,0,0,0,0,0,0,0,0,1036,0,1697,5,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,0
MASK001.V3.SKIN,0,0,4,0,0,7,8,0,0,4,0,0,0,0,0,0,0,0,0,4,0,7,0,9,0,0,0,21,8,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3123,0,0,0,1281,0,0,0,0,0,0,0,11,0,4,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,24,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,18,0,17,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,830,25,0,34,10,0,18,2,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,3,23,0,0,0,0,0,0,0,49,0,0,0,0,0,7,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,43,0,0,0,0,0
MASK001.v3.throat,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4272,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,1150,0,0,0,109,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,157,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,6919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,13,0,0,0,0,128,0,0,0,0,0,180,0,0,0,0,0,0,0,0,763,0,2907,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0
MASK002.V1.MASK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,32,0,0,0,30,0,0,0,0,27,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,743,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,114,0,5,0,0,0,0,0,0,0,23,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,16,0,0,0,0,8,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,3,0,0,0,0,22,0,0,0,0,0,0,53,0,0,0,0,0,0,0,1524,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
MASK002.V1.SKIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,41,0,0,5,0,0,0,0,0,0,0,0,0,0,0,26493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,241,0,0,0,0,0,0,0,1408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
